"Observations","count","prop","win_start","win_end","win_days","region","regname"
"10",18,0.0167441860465116,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"11",8,0.00744186046511628,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"12",9,0.00837209302325581,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"13",5,0.00465116279069767,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"14",4,0.00372093023255814,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"15",4,0.00372093023255814,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"16",1,0.000930232558139535,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"17",2,0.00186046511627907,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"2",194,0.18046511627907,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"3",165,0.153488372093023,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"4",120,0.111627906976744,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"5",82,0.0762790697674419,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"6",75,0.0697674418604651,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"7",50,0.0465116279069767,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"8",29,0.0269767441860465,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"9",14,0.0130232558139535,"2009-01-01","2017-01-01",2922,3,"Rest of North Island"
"1",284,0.278158667972576,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"10",12,0.0117531831537708,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"11",10,0.00979431929480901,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"12",3,0.0029382957884427,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"13",2,0.0019588638589618,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"14",4,0.0039177277179236,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"15",2,0.0019588638589618,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"2",208,0.203721841332027,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"3",151,0.147894221351616,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"4",116,0.113614103819785,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"5",83,0.0812928501469148,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"6",75,0.0734573947110676,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"7",40,0.039177277179236,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"8",15,0.0146914789422135,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"9",16,0.0156709108716944,"2010-01-01","2017-01-01",2557,3,"Rest of North Island"
"1",289,0.299792531120332,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"10",8,0.00829875518672199,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"11",6,0.00622406639004149,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"12",2,0.0020746887966805,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"13",2,0.0020746887966805,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"14",2,0.0020746887966805,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"2",201,0.20850622406639,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"3",165,0.171161825726141,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"4",117,0.121369294605809,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"5",73,0.0757261410788382,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"6",50,0.0518672199170125,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
"7",21,0.0217842323651452,"2011-01-01","2017-01-01",2192,3,"Rest of North Island"
