"Observations","count","prop","win_start","win_end","win_days","region"
"2",6462,0.261735995787598,"1998-01-01","2000-01-01",730,"Wellington"
"3",2109,0.085422657863826,"1998-01-01","2000-01-01",730,"Wellington"
"4",474,0.0191988334885982,"1998-01-01","2000-01-01",730,"Wellington"
"5",88,0.00356434039450768,"1998-01-01","2000-01-01",730,"Wellington"
"6",13,0.00052655028555227,"1998-01-01","2000-01-01",730,"Wellington"
"1",12864,0.808446455505279,"1999-01-01","2000-01-01",365,"Wellington"
"2",2758,0.173328305681247,"1999-01-01","2000-01-01",365,"Wellington"
"3",274,0.017219708396179,"1999-01-01","2000-01-01",365,"Wellington"
"4",16,0.00100553041729512,"1999-01-01","2000-01-01",365,"Wellington"
"1",19254,0.379958163949955,"1993-01-01","2001-01-01",2922,"Wellington"
"10",205,0.00404546710344555,"1993-01-01","2001-01-01",2922,"Wellington"
"11",98,0.00193393061530568,"1993-01-01","2001-01-01",2922,"Wellington"
"12",42,0.000828827406559577,"1993-01-01","2001-01-01",2922,"Wellington"
"13",24,0.000473615660891187,"1993-01-01","2001-01-01",2922,"Wellington"
"14",6,0.000118403915222797,"1993-01-01","2001-01-01",2922,"Wellington"
"15",5,9.86699293523306e-05,"1993-01-01","2001-01-01",2922,"Wellington"
"16",1,1.97339858704661e-05,"1993-01-01","2001-01-01",2922,"Wellington"
"17",2,3.94679717409322e-05,"1993-01-01","2001-01-01",2922,"Wellington"
"2",11138,0.219797134625252,"1993-01-01","2001-01-01",2922,"Wellington"
"3",7444,0.14689979081975,"1993-01-01","2001-01-01",2922,"Wellington"
"4",4943,0.097545092157714,"1993-01-01","2001-01-01",2922,"Wellington"
"5",3275,0.0646288037257765,"1993-01-01","2001-01-01",2922,"Wellington"
"6",1918,0.037849784899554,"1993-01-01","2001-01-01",2922,"Wellington"
"7",1145,0.0225954138216837,"1993-01-01","2001-01-01",2922,"Wellington"
"8",771,0.0152149031061294,"1993-01-01","2001-01-01",2922,"Wellington"
"9",403,0.00795279630579785,"1993-01-01","2001-01-01",2922,"Wellington"
"1",18823,0.392948102375684,"1994-01-01","2001-01-01",2557,"Wellington"
"10",99,0.00206671955241952,"1994-01-01","2001-01-01",2557,"Wellington"
"11",49,0.00102292179867229,"1994-01-01","2001-01-01",2557,"Wellington"
"12",25,0.000521898876873617,"1994-01-01","2001-01-01",2557,"Wellington"
"13",7,0.000146131685524613,"1994-01-01","2001-01-01",2557,"Wellington"
"14",7,0.000146131685524613,"1994-01-01","2001-01-01",2557,"Wellington"
"17",1,2.08759550749447e-05,"1994-01-01","2001-01-01",2557,"Wellington"
"2",10896,0.227464406496597,"1994-01-01","2001-01-01",2557,"Wellington"
"3",7129,0.148824683729281,"1994-01-01","2001-01-01",2557,"Wellington"
"4",4589,0.0957997578389211,"1994-01-01","2001-01-01",2557,"Wellington"
"5",2866,0.0598304872447915,"1994-01-01","2001-01-01",2557,"Wellington"
"6",1623,0.0338816750866352,"1994-01-01","2001-01-01",2557,"Wellington"
"7",985,0.0205628157488205,"1994-01-01","2001-01-01",2557,"Wellington"
"8",544,0.0113565195607699,"1994-01-01","2001-01-01",2557,"Wellington"
"9",259,0.00540687236441067,"1994-01-01","2001-01-01",2557,"Wellington"
"1",18528,0.41338688085676,"1995-01-01","2001-01-01",2192,"Wellington"
"10",50,0.00111557340473003,"1995-01-01","2001-01-01",2192,"Wellington"
"11",19,0.000423917893797412,"1995-01-01","2001-01-01",2192,"Wellington"
"12",13,0.000290049085229808,"1995-01-01","2001-01-01",2192,"Wellington"
"13",2,4.46229361892012e-05,"1995-01-01","2001-01-01",2192,"Wellington"
"14",2,4.46229361892012e-05,"1995-01-01","2001-01-01",2192,"Wellington"
"2",10506,0.234404283801874,"1995-01-01","2001-01-01",2192,"Wellington"
"3",6694,0.149352967425257,"1995-01-01","2001-01-01",2192,"Wellington"
"4",4165,0.0929272646140116,"1995-01-01","2001-01-01",2192,"Wellington"
"5",2477,0.0552655064703257,"1995-01-01","2001-01-01",2192,"Wellington"
"6",1247,0.027822400713967,"1995-01-01","2001-01-01",2192,"Wellington"
"7",678,0.0151271753681392,"1995-01-01","2001-01-01",2192,"Wellington"
"8",309,0.00689424364123159,"1995-01-01","2001-01-01",2192,"Wellington"
"9",130,0.00290049085229808,"1995-01-01","2001-01-01",2192,"Wellington"
"1",17926,0.435922377316278,"1996-01-01","2001-01-01",1827,"Wellington"
"10",15,0.00036476825057147,"1996-01-01","2001-01-01",1827,"Wellington"
"11",5,0.000121589416857157,"1996-01-01","2001-01-01",1827,"Wellington"
"12",4,9.72715334857254e-05,"1996-01-01","2001-01-01",1827,"Wellington"
"2",10036,0.244054277515685,"1996-01-01","2001-01-01",1827,"Wellington"
"3",6189,0.150503380185789,"1996-01-01","2001-01-01",1827,"Wellington"
"4",3592,0.0873498370701814,"1996-01-01","2001-01-01",1827,"Wellington"
"5",1883,0.0457905743884052,"1996-01-01","2001-01-01",1827,"Wellington"
"6",893,0.0217158698506882,"1996-01-01","2001-01-01",1827,"Wellington"
"7",364,0.00885170954720101,"1996-01-01","2001-01-01",1827,"Wellington"
"8",158,0.00384222557268615,"1996-01-01","2001-01-01",1827,"Wellington"
"9",57,0.00138611935217159,"1996-01-01","2001-01-01",1827,"Wellington"
"1",17227,0.467058887322416,"1997-01-01","2001-01-01",1461,"Wellington"
"10",5,0.000135560134475653,"1997-01-01","2001-01-01",1461,"Wellington"
"11",1,2.71120268951307e-05,"1997-01-01","2001-01-01",1461,"Wellington"
"2",9576,0.259624769547771,"1997-01-01","2001-01-01",1461,"Wellington"
"3",5433,0.147299642121245,"1997-01-01","2001-01-01",1461,"Wellington"
"4",2765,0.0749647543650363,"1997-01-01","2001-01-01",1461,"Wellington"
"5",1198,0.0324802082203666,"1997-01-01","2001-01-01",1461,"Wellington"
"6",457,0.0123901962910747,"1997-01-01","2001-01-01",1461,"Wellington"
"7",166,0.00450059646459169,"1997-01-01","2001-01-01",1461,"Wellington"
"8",46,0.00124715323717601,"1997-01-01","2001-01-01",1461,"Wellington"
"9",10,0.000271120268951307,"1997-01-01","2001-01-01",1461,"Wellington"
"1",16766,0.522565764867224,"1998-01-01","2001-01-01",1096,"Wellington"
"2",8729,0.272067073930931,"1998-01-01","2001-01-01",1096,"Wellington"
"3",4215,0.131373893529485,"1998-01-01","2001-01-01",1096,"Wellington"
"4",1650,0.0514275028051365,"1998-01-01","2001-01-01",1096,"Wellington"
"5",530,0.0165191372646802,"1998-01-01","2001-01-01",1096,"Wellington"
"6",151,0.00470639571125795,"1998-01-01","2001-01-01",1096,"Wellington"
"7",38,0.00118439097369405,"1998-01-01","2001-01-01",1096,"Wellington"
"8",5,0.000155840917591323,"1998-01-01","2001-01-01",1096,"Wellington"
"1",15955,0.617525254480009,"1999-01-01","2001-01-01",731,"Wellington"
"2",6990,0.270542245616751,"1999-01-01","2001-01-01",731,"Wellington"
"3",2231,0.0863490343306111,"1999-01-01","2001-01-01",731,"Wellington"
"4",557,0.0215582304447111,"1999-01-01","2001-01-01",731,"Wellington"
"5",93,0.00359948910477223,"1999-01-01","2001-01-01",731,"Wellington"
"6",9,0.000348337655300538,"1999-01-01","2001-01-01",731,"Wellington"
"7",2,7.7408367844564e-05,"1999-01-01","2001-01-01",731,"Wellington"
"1",13476,0.81009918845807,"2000-01-01","2001-01-01",366,"Wellington"
"2",2844,0.170964833183048,"2000-01-01","2001-01-01",366,"Wellington"
"3",301,0.0180943793207093,"2000-01-01","2001-01-01",366,"Wellington"
"4",14,0.000841599038172528,"2000-01-01","2001-01-01",366,"Wellington"
"1",19814,0.361529759515382,"1993-01-01","2002-01-01",3287,"Wellington"
"10",322,0.00587526913111703,"1993-01-01","2002-01-01",3287,"Wellington"
"11",189,0.00344852753348174,"1993-01-01","2002-01-01",3287,"Wellington"
"12",93,0.00169689450060212,"1993-01-01","2002-01-01",3287,"Wellington"
"13",41,0.000748093274459001,"1993-01-01","2002-01-01",3287,"Wellington"
"14",23,0.000419662080794074,"1993-01-01","2002-01-01",3287,"Wellington"
"15",6,0.000109477064554976,"1993-01-01","2002-01-01",3287,"Wellington"
"16",5,9.12308871291464e-05,"1993-01-01","2002-01-01",3287,"Wellington"
"17",3,5.47385322774879e-05,"1993-01-01","2002-01-01",3287,"Wellington"
"18",1,1.82461774258293e-05,"1993-01-01","2002-01-01",3287,"Wellington"
"19",1,1.82461774258293e-05,"1993-01-01","2002-01-01",3287,"Wellington"
"2",11689,0.213279567930519,"1993-01-01","2002-01-01",3287,"Wellington"
"3",7882,0.143816370470386,"1993-01-01","2002-01-01",3287,"Wellington"
"4",5476,0.0999160675838412,"1993-01-01","2002-01-01",3287,"Wellington"
"5",3797,0.0692807356858738,"1993-01-01","2002-01-01",3287,"Wellington"
"6",2370,0.0432434404992154,"1993-01-01","2002-01-01",3287,"Wellington"
"7",1521,0.0277524358646863,"1993-01-01","2002-01-01",3287,"Wellington"
"8",973,0.0177535306353319,"1993-01-01","2002-01-01",3287,"Wellington"
"9",600,0.0109477064554976,"1993-01-01","2002-01-01",3287,"Wellington"
"1",19433,0.372072986271994,"1994-01-01","2002-01-01",2922,"Wellington"
"10",219,0.00419307281395393,"1994-01-01","2002-01-01",2922,"Wellington"
"11",111,0.00212525608378487,"1994-01-01","2002-01-01",2922,"Wellington"
"12",57,0.00109134771870034,"1994-01-01","2002-01-01",2922,"Wellington"
"13",14,0.000268050316873767,"1994-01-01","2002-01-01",2922,"Wellington"
"14",16,0.000306343219284306,"1994-01-01","2002-01-01",2922,"Wellington"
"15",3,5.74393536158073e-05,"1994-01-01","2002-01-01",2922,"Wellington"
"16",2,3.82929024105382e-05,"1994-01-01","2002-01-01",2922,"Wellington"
"19",1,1.91464512052691e-05,"1994-01-01","2002-01-01",2922,"Wellington"
"2",11434,0.218920523081047,"1994-01-01","2002-01-01",2922,"Wellington"
"3",7666,0.146776694939593,"1994-01-01","2002-01-01",2922,"Wellington"
